"ba5b34d232c813a45b0c07e0552cd866ee1e4987,sonar-core/src/test/java/org/sonar/core/issue/DefaultIssueTest.java,DefaultIssueTest.java,25,1617.3834924297314,6,1,0,1,0,0,13,13,0,0,78,17,192,0,34,1617.3834924297314,3,1,0,1,0,0,7,7,0,0,18,9,83,0,Rename Method,Rename Method	public description_should_be_abbreviated_if_too_long() : void renamed to public message_should_be_abbreviated_if_too_long() : void in class org.sonar.core.issue.DefaultIssueTest"
"69291bdd13e1d9fa27410fe6ef9ec567e69efb62,sonar-plugin-api/src/test/java/org/sonar/api/user/UserQueryTest.java,UserQueryTest.java,36,1590.7849116321645,2,1,0,0,0,0,6,6,0,2,19,8,74,15,37,1383.6931018885534,2,1,0,0,0,0,5,5,0,2,19,7,68,10,Rename Method,Rename Method	public test_searchText() : void renamed to public searchText_escape_special_characters_in_like() : void in class org.sonar.api.user.UserQueryTest"
"c66ed023d5ef8de630557081b582dbde562eb3ee,sonar-core/src/test/java/org/sonar/core/issue/DefaultIssueBuilderTest.java,DefaultIssueBuilderTest.java,38,1361.0551257444306,3,1,0,0,0,0,2,2,0,0,32,2,69,1,38,1361.0551257444306,3,1,0,0,0,0,2,2,0,0,30,2,66,1,Rename Method,Rename Method	public should_build_new_issue() : void renamed to public build_new_issue() : void in class org.sonar.core.issue.DefaultIssueBuilderTest"
"5e91ad15421776a8ae778c4a49a5118c7ec214a4,sonar-plugin-api/src/test/java/org/sonar/api/resources/CoreMetricsTest.java,CoreMetricsTest.java,46,206.0894050155578,5,1,0,1,1,0,3,3,0,0,10,3,51,3,51,206.0894050155578,2,1,0,0,0,0,1,1,0,0,4,1,33,0,Rename Method,Rename Method	public shouldReadMetricsFromClassReflection() : void renamed to public read_metrics_from_class_reflection() : void in class org.sonar.api.resources.CoreMetricsTest"
"957818db94c251bbee7a0af18365d772065e9f1d,sonar-plugin-api/src/test/java/org/sonar/api/resources/CoreMetricsTest.java,CoreMetricsTest.java,46,206.0894050155578,5,1,0,1,1,0,3,3,0,0,10,3,51,3,51,206.0894050155578,2,1,0,0,0,0,1,1,0,0,4,1,33,0,Rename Method,Rename Method	public read_metrics_from_class_reflection() : void renamed to public shouldReadMetricsFromClassReflection() : void in class org.sonar.api.resources.CoreMetricsTest"
"0bc0b4a8e955304ba50a5be4939a912c82f95ef3,sonar-plugin-api/src/test/java/org/sonar/api/rules/AnnotationRuleParserTest.java,AnnotationRuleParserTest.java,26,5119.306135697743,17,2,0,6,2,0,9,8,0,1,23,9,147,36,26,5119.306135697743,17,2,0,6,2,0,9,8,0,1,23,9,147,36,Rename Method,Rename Method	public should_reject_invalid_prroperty_types() : void renamed to public should_reject_invalid_property_types() : void in class org.sonar.api.rules.AnnotationRuleParserTest"
"808e4f107fdd1659a41bb616660090fc04a9d7c0,sonar-plugin-api/src/test/java/org/sonar/api/resources/DirectoryTest.java,DirectoryTest.java,35,1891.0234932909348,7,1,0,1,1,0,7,7,0,0,17,7,79,21,36,1698.8144885869958,3,1,0,0,0,0,7,7,0,0,8,7,72,21,Rename Method,Rename Method	public shouldNotStartOrEndBySlash() : void renamed to public shouldNotStartOrEndBySlashDeprecatedConstructor() : void in class org.sonar.api.resources.DirectoryTest"
"808e4f107fdd1659a41bb616660090fc04a9d7c0,sonar-plugin-api/src/test/java/org/sonar/api/resources/FileTest.java,FileTest.java,34,3017.7686013730818,4,1,0,0,0,0,5,5,0,0,15,6,75,15,31,3339.3126858910423,3,1,0,0,0,0,6,6,0,0,12,6,101,15,Rename Method,Rename Method	public newFileByKey() : void renamed to public newFileByDeprecatedKey() : void in class org.sonar.api.resources.FileTest"
"4e25451aff18f05affc89baf5c8f80c764ee6a8d,sonar-core/src/test/java/org/sonar/core/i18n/DefaultI18nTest.java,DefaultI18nTest.java,19,5982.497071274099,10,1,0,2,0,0,22,21,0,12,47,33,192,0,20,6086.561622450124,13,1,0,2,0,0,26,20,5,12,34,27,195,0,Rename Method,Rename Method	public get_time_instant() : void renamed to public get_age_from_now() : void in class org.sonar.core.i18n.DefaultI18nTest"
"4e25451aff18f05affc89baf5c8f80c764ee6a8d,sonar-core/src/test/java/org/sonar/core/i18n/DurationLabelTest.java,DurationLabelTest.java,28,3244.3424489141653,4,1,0,6,0,6,13,11,0,4,9,13,118,66,27,3589.9981872983094,4,1,0,6,0,6,14,12,0,6,11,14,125,79,Rename Method,Rename Method	public instant_seconds() : void renamed to public age_in_seconds() : void in class org.sonar.core.i18n.DurationLabelTest"
"9cc87b7ac82818ae37dab4bbf8f296ff388b6d74,sonar-plugin-api/src/test/java/org/sonar/api/resources/ResourceUtilsTest.java,ResourceUtilsTest.java,35,2238.7778127054653,4,1,0,0,0,0,5,5,0,0,16,5,71,10,35,2212.165026910957,8,1,0,0,0,0,5,5,0,0,15,5,79,10,Rename Method,Rename Method	public checkJavaClass() : void renamed to public checkFile() : void in class org.sonar.api.resources.ResourceUtilsTest"
"a0202f9765cf69edbe55e71f1c7e22d870628ef0,sonar-plugin-api/src/test/java/org/sonar/api/server/ws/RequestTest.java,RequestTest.java,5,3082.751916514081,23,2,0,6,1,0,68,62,1,1,89,75,565,0,31,2351.674375984786,6,2,0,3,0,0,11,10,0,0,17,14,97,9,Rename Method,Rename Method	public required_param_is_missing() : void renamed to public mandatory_param_is_missing() : void in class org.sonar.api.server.ws.RequestTest"
"7c9255749502f676b11c9d7aaf71d3bc958109e1,sonar-plugin-api/src/test/java/org/sonar/api/server/ws/RequestTest.java,RequestTest.java,5,3082.751916514081,23,2,0,6,1,0,68,62,1,1,89,75,565,0,31,2351.674375984786,6,2,0,3,0,0,11,10,0,0,17,14,97,9,Rename Method,Rename Method	public required_param_is_missing() : void renamed to public mandatory_param_is_missing() : void in class org.sonar.api.server.ws.RequestTest"
"1aa8f05a8eb33882ce4b2f1594798dff274d9ab5,sonar-plugin-api/src/test/java/org/sonar/api/server/ws/RequestTest.java,RequestTest.java,5,3082.751916514081,23,2,0,6,1,0,68,62,1,1,89,75,565,0,31,2351.674375984786,6,2,0,3,0,0,11,10,0,0,17,14,97,9,Rename Method,Rename Method	public required_param_is_missing() : void renamed to public mandatory_param_is_missing() : void in class org.sonar.api.server.ws.RequestTest"
"c75acff1842baf31f5863f5ee8edf603803c1a6c,sonar-plugin-api/src/test/java/org/sonar/api/server/ws/WebServiceTest.java,WebServiceTest.java,11,7098.046043841984,18,1,0,5,2,0,29,26,0,0,81,31,433,0,17,6471.362756755663,12,1,0,2,0,0,14,12,0,0,39,30,240,118,Rename Method,Rename Method	public fail_if_no_ws_path() : void renamed to public fail_if_no_controller_path() : void in class org.sonar.api.server.ws.WebServiceTest"
"16e0724c625b94d96c0a9bc50d210b5ea270a733,sonar-plugin-api/src/test/java/org/sonar/api/server/ws/WebServiceTest.java,WebServiceTest.java,12,6554.357382580605,18,1,0,5,2,0,29,26,0,0,81,31,433,0,18,5933.393299069569,12,1,0,2,0,0,13,11,0,0,39,28,226,97,Rename Method,Rename Method	public fail_if_no_ws_path() : void renamed to public fail_if_no_controller_path() : void in class org.sonar.api.server.ws.WebServiceTest"
"38e9fbb23cd9600e6886307695c9bf87f5547951,sonar-home/src/test/java/org/sonar/home/cache/FileCacheTest.java,FileCacheTest.java,26,4968.644313264053,11,1,0,4,2,0,9,9,0,0,25,13,129,0,25,4906.846926601308,10,1,0,3,2,0,6,6,0,1,36,13,145,25,Rename Method,Rename Method	public unzip_from_cache() : void renamed to public concurrent_unzip_from_cache() : void in class org.sonar.home.cache.FileCacheTest"
"c2bc9f0c49b4128399ae5146d33b1e612359618b,sonar-home/src/test/java/org/sonar/home/cache/FileCacheTest.java,FileCacheTest.java,27,4157.116401814552,11,1,0,4,2,0,9,9,0,0,25,13,129,0,25,4968.644313264053,11,1,0,3,2,0,6,6,0,1,36,13,147,25,Rename Method,Rename Method	public concurrent_unzip_from_cache() : void renamed to public unzip_from_cache() : void in class org.sonar.home.cache.FileCacheTest"
"679bc82d5c453bccdf2eb8f51c410cda1773165a,sonar-plugin-api/src/test/java/org/sonar/api/utils/DurationTest.java,DurationTest.java,27,4079.8803327735186,2,1,0,4,0,4,13,13,0,0,19,17,125,0,31,3431.6253790109204,2,1,0,4,0,4,10,10,0,0,19,11,95,0,Rename Method,Rename Method	public fail_to_decode_if_not_number() : void renamed to public fail_to_decode_if_unit_with_invalid_number() : void in class org.sonar.api.utils.DurationTest"
"d3cc1dae7f60510c75f4ce689d491012e21d6e62,sonar-plugin-api/src/test/java/org/sonar/api/server/debt/DefaultDebtRemediationFunctionTest.java,DefaultDebtRemediationFunctionTest.java,26,2867.798728670606,3,1,0,0,0,0,14,14,0,0,11,22,146,91,26,2867.798728670606,3,1,0,0,0,0,13,13,0,0,11,20,137,78,Rename Method,Rename Method	public sanitize_remediation_factor_and_offset() : void renamed to public sanitize_remediation_coefficient_and_offset() : void in class org.sonar.api.server.debt.DefaultDebtRemediationFunctionTest"
"9ed90faaa5871f3a582595e07c5ef0272db3c57f,sonar-core/src/test/java/org/sonar/core/i18n/DefaultI18nTest.java,DefaultI18nTest.java,19,6378.953463106493,10,1,0,2,0,0,22,21,0,12,47,33,192,0,20,5982.497071274099,13,1,0,2,0,0,27,21,5,12,35,28,196,0,Rename Method,Rename Method	public init() : void renamed to public before() : void in class org.sonar.core.i18n.DefaultI18nTest"
"d8f1d06ab086c00d8693d8226a30781f52c02594,sonar-core/src/test/java/org/sonar/core/i18n/DefaultI18nTest.java,DefaultI18nTest.java,20,5048.952799757893,10,1,0,2,0,0,22,21,0,12,47,33,192,0,20,5976.204533598162,13,1,0,2,0,0,27,21,5,12,36,28,197,0,Rename Method,Rename Method	public should_introspect_all_available_properties() : void renamed to public introspect_all_available_properties() : void in class org.sonar.core.i18n.DefaultI18nTest"
"d8f1d06ab086c00d8693d8226a30781f52c02594,sonar-core/src/test/java/org/sonar/core/i18n/I18nClassloaderTest.java,I18nClassloaderTest.java,36,1350.0212082951953,8,1,0,2,1,0,8,6,2,2,16,9,73,0,41,834.0,6,1,0,2,1,0,5,5,0,2,13,5,56,0,Rename Method,Rename Method	public should_return_null_if_resource_not_found() : void renamed to public return_null_if_resource_not_found() : void in class org.sonar.core.i18n.I18nClassloaderTest"
